Work item id,Summary,Description,Issue Type,Priority,Status,Resolution,Labels,Labels,Labels,Component,Component,Parent,Reporter,Created
"HC-046","API rate limit headers missing on 429 responses","*Steps to reproduce*
1. Exceed 100 req/min on /v1/orders
2. Inspect response headers

*Expected*
Retry-After and X-RateLimit-Reset present

*Actual*
429 body only; integrators cannot backoff correctly

*Environment*
Production API gateway

*Business impact*
Low — developer experience; causes retry storms","Bug","Medium","Resolved","Fixed","horizon-commerce","agentos-demo","epic-04","Backend","Security","HC-EPIC-04","Sarah Chen","09/03/25 10:00"
"HC-047","Duplicate charge when user double-clicks Pay button","*Steps to reproduce*
1. Open checkout with $250 cart
2. Click Pay twice within 500ms on slow 3G
3. Observe bank statement

*Expected*
Single authorization hold

*Actual*
Two identical charges posted

*Environment*
Production, Chrome 122, checkout v3.2.1

*Business impact*
High — direct revenue and trust impact; 14 merchant escalations this week","Bug","High","Resolved","Fixed","horizon-commerce","agentos-demo","epic-04","Backend","Security","HC-EPIC-04","Marcus Webb","10/03/25 10:00"
"HC-048","Upgrade payment processor SDK to latest PCI-compliant version (Catalog,)","*Goal*
Remove deprecated TLS 1.0 paths before processor cutoff date.

*Deliverables*
- Bump stripe-node / equivalent to supported version
- Run integration test suite in staging
- Update runbook for rollback

*Notes*
Processor deadline: end of Q1. Coordinate with finance for test transactions.","Task","Medium","Done","Done","horizon-commerce","agentos-demo","epic-04","Data","DevOps","HC-EPIC-04","Marcus Webb","11/03/25 10:00"
"HC-049","Self-serve merchant analytics dashboard wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-05","Frontend","Data","HC-EPIC-05","Elena Vasquez","12/03/25 10:00"
"HC-050","Webhook notifications for merchant analytics dashboard status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-05","Frontend","Data","HC-EPIC-05","Tom Bradley","13/03/25 10:00"
"HC-051","Role-based access for merchant analytics dashboard admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-05","Frontend","Data","HC-EPIC-05","Sarah Chen","14/03/25 10:00"
"HC-052","Export merchant analytics dashboard data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-05","Frontend","Data","HC-EPIC-05","Marcus Webb","15/03/25 10:00"
"HC-053","Search and filter merchant analytics dashboard records in admin UI","*User story*
As a support agent, I want full-text search with filters on status and date so that I resolve merchant tickets faster.

*Background*
Support avg handle time is 18 min; search latency is a top complaint.

*Acceptance criteria*
1. Given 100k records, when I search by email fragment, then results return under 2 seconds.
2. Given active filters, when I share URL, then colleague sees same filtered view.
3. Given PII fields, when results render, then only last4 of card is visible to support role.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-05","Frontend","Data","HC-EPIC-05","Priya Nair","16/03/25 10:00"
"HC-054","Self-serve merchant analytics dashboard wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-05","Frontend","Data","HC-EPIC-05","James Okafor","17/03/25 10:00"
"HC-055","API rate limit headers missing on 429 responses","*Steps to reproduce*
1. Exceed 100 req/min on /v1/orders
2. Inspect response headers

*Expected*
Retry-After and X-RateLimit-Reset present

*Actual*
429 body only; integrators cannot backoff correctly

*Environment*
Production API gateway

*Business impact*
Low — developer experience; causes retry storms","Bug","High","To Do","","horizon-commerce","agentos-demo","epic-05","Frontend","Security","HC-EPIC-05","Sarah Chen","18/03/25 10:00"
"HC-056","Duplicate charge when user double-clicks Pay button","*Steps to reproduce*
1. Open checkout with $250 cart
2. Click Pay twice within 500ms on slow 3G
3. Observe bank statement

*Expected*
Single authorization hold

*Actual*
Two identical charges posted

*Environment*
Production, Chrome 122, checkout v3.2.1

*Business impact*
High — direct revenue and trust impact; 14 merchant escalations this week","Bug","Medium","Resolved","Fixed","horizon-commerce","agentos-demo","epic-05","Frontend","Security","HC-EPIC-05","Marcus Webb","19/03/25 10:00"
"HC-057","Webhook signature validation fails for payloads over 64KB","*Steps to reproduce*
1. Send order.updated webhook with 200 line items
2. Verify signature with official SDK

*Expected*
Signature validates

*Actual*
401 Invalid signature despite correct secret

*Environment*
Sandbox API, Node SDK 2.4.0

*Business impact*
Medium — large B2B orders fail ERP sync","Bug","High","Resolved","Fixed","horizon-commerce","agentos-demo","epic-05","Frontend","Security","HC-EPIC-05","Priya Nair","20/03/25 10:00"
"HC-058","Add database indexes for order search queries (Merchant)","*Goal*
Reduce p95 admin search latency from 4.2s to under 1s.

*Deliverables*
- EXPLAIN ANALYZE on top 5 slow queries
- Migration for composite index on (merchant_id, created_at, status)
- Validate on staging copy with 2M rows

*Notes*
Use CONCURRENTLY in production migration window.","Task","Medium","Done","Done","horizon-commerce","agentos-demo","epic-05","Data","DevOps","HC-EPIC-05","Priya Nair","21/03/25 10:00"
"HC-059","Document public API error code catalog (Merchant)","*Goal*
Publish stable error codes for integrators with remediation hints.

*Deliverables*
- Markdown reference in developer portal
- OpenAPI examples for 4xx/5xx
- Changelog entry for support team

*Notes*
Align codes with existing internal enum payment_errors.","Task","Medium","In Progress","","horizon-commerce","agentos-demo","epic-05","Data","DevOps","HC-EPIC-05","James Okafor","22/03/25 10:00"
"HC-060","Self-serve public api & developer platform wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-06","API","Backend","HC-EPIC-06","Tom Bradley","23/03/25 10:00"
"HC-061","Webhook notifications for public api & developer platform status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-06","API","Backend","HC-EPIC-06","Sarah Chen","24/03/25 10:00"
"HC-062","Role-based access for public api & developer platform admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-06","API","Backend","HC-EPIC-06","Marcus Webb","25/03/25 10:00"
"HC-063","Export public api & developer platform data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-06","API","Backend","HC-EPIC-06","Priya Nair","26/03/25 10:00"
"HC-064","Search and filter public api & developer platform records in admin UI","*User story*
As a support agent, I want full-text search with filters on status and date so that I resolve merchant tickets faster.

*Background*
Support avg handle time is 18 min; search latency is a top complaint.

*Acceptance criteria*
1. Given 100k records, when I search by email fragment, then results return under 2 seconds.
2. Given active filters, when I share URL, then colleague sees same filtered view.
3. Given PII fields, when results render, then only last4 of card is visible to support role.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-06","API","Backend","HC-EPIC-06","James Okafor","27/03/25 10:00"
"HC-065","Self-serve public api & developer platform wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-06","API","Backend","HC-EPIC-06","Elena Vasquez","28/03/25 10:00"
"HC-066","Duplicate charge when user double-clicks Pay button","*Steps to reproduce*
1. Open checkout with $250 cart
2. Click Pay twice within 500ms on slow 3G
3. Observe bank statement

*Expected*
Single authorization hold

*Actual*
Two identical charges posted

*Environment*
Production, Chrome 122, checkout v3.2.1

*Business impact*
High — direct revenue and trust impact; 14 merchant escalations this week","Bug","High","To Do","","horizon-commerce","agentos-demo","epic-06","API","Security","HC-EPIC-06","Marcus Webb","29/03/25 10:00"
"HC-067","Webhook signature validation fails for payloads over 64KB","*Steps to reproduce*
1. Send order.updated webhook with 200 line items
2. Verify signature with official SDK

*Expected*
Signature validates

*Actual*
401 Invalid signature despite correct secret

*Environment*
Sandbox API, Node SDK 2.4.0

*Business impact*
Medium — large B2B orders fail ERP sync","Bug","Medium","Resolved","Fixed","horizon-commerce","agentos-demo","epic-06","API","Security","HC-EPIC-06","Priya Nair","30/03/25 10:00"
"HC-068","Timezone mislabels settlement date in analytics chart","*Steps to reproduce*
1. Set merchant timezone to America/Chicago
2. View GMV chart for Jan 31 cross-midnight UTC

*Expected*
Bars align to merchant local day boundaries

*Actual*
Jan 31 GMV split incorrectly across Feb 1

*Environment*
Dashboard v1.8, Postgres rollup job

*Business impact*
Medium — finance reports disagree with processor statements","Bug","High","Resolved","Fixed","horizon-commerce","agentos-demo","epic-06","API","Security","HC-EPIC-06","James Okafor","31/03/25 10:00"
"HC-069","Document public API error code catalog (Public)","*Goal*
Publish stable error codes for integrators with remediation hints.

*Deliverables*
- Markdown reference in developer portal
- OpenAPI examples for 4xx/5xx
- Changelog entry for support team

*Notes*
Align codes with existing internal enum payment_errors.","Task","Medium","Done","Done","horizon-commerce","agentos-demo","epic-06","Backend","DevOps","HC-EPIC-06","James Okafor","01/04/25 10:00"
"HC-070","Self-serve security, fraud & compliance wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-07","Security","Backend","HC-EPIC-07","Sarah Chen","02/04/25 10:00"
"HC-071","Webhook notifications for security, fraud & compliance status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-07","Security","Backend","HC-EPIC-07","Marcus Webb","03/04/25 10:00"
"HC-072","Role-based access for security, fraud & compliance admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-07","Security","Backend","HC-EPIC-07","Priya Nair","04/04/25 10:00"
"HC-073","Export security, fraud & compliance data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-07","Security","Backend","HC-EPIC-07","James Okafor","05/04/25 10:00"
"HC-074","Search and filter security, fraud & compliance records in admin UI","*User story*
As a support agent, I want full-text search with filters on status and date so that I resolve merchant tickets faster.

*Background*
Support avg handle time is 18 min; search latency is a top complaint.

*Acceptance criteria*
1. Given 100k records, when I search by email fragment, then results return under 2 seconds.
2. Given active filters, when I share URL, then colleague sees same filtered view.
3. Given PII fields, when results render, then only last4 of card is visible to support role.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-07","Security","Backend","HC-EPIC-07","Elena Vasquez","06/04/25 10:00"
"HC-075","Self-serve security, fraud & compliance wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-07","Security","Backend","HC-EPIC-07","Tom Bradley","07/04/25 10:00"
"HC-076","Webhook signature validation fails for payloads over 64KB","*Steps to reproduce*
1. Send order.updated webhook with 200 line items
2. Verify signature with official SDK

*Expected*
Signature validates

*Actual*
401 Invalid signature despite correct secret

*Environment*
Sandbox API, Node SDK 2.4.0

*Business impact*
Medium — large B2B orders fail ERP sync","Bug","High","To Do","","horizon-commerce","agentos-demo","epic-07","Security","Security","HC-EPIC-07","Priya Nair","08/04/25 10:00"
"HC-077","Timezone mislabels settlement date in analytics chart","*Steps to reproduce*
1. Set merchant timezone to America/Chicago
2. View GMV chart for Jan 31 cross-midnight UTC

*Expected*
Bars align to merchant local day boundaries

*Actual*
Jan 31 GMV split incorrectly across Feb 1

*Environment*
Dashboard v1.8, Postgres rollup job

*Business impact*
Medium — finance reports disagree with processor statements","Bug","Medium","Resolved","Fixed","horizon-commerce","agentos-demo","epic-07","Security","Security","HC-EPIC-07","James Okafor","09/04/25 10:00"
"HC-078","Mobile app crashes on offline catalog sync resume","*Steps to reproduce*
1. Login as field rep on iOS 17
2. Start catalog sync, enable airplane mode mid-sync
3. Disable airplane mode after 2 minutes

*Expected*
Sync resumes from last checkpoint

*Actual*
App crashes to home screen; logs show SQLite locked

*Environment*
iOS app 4.1.0 build 412

*Business impact*
High — field sales blocked in low-connectivity regions","Bug","High","Resolved","Fixed","horizon-commerce","agentos-demo","epic-07","Security","Security","HC-EPIC-07","Elena Vasquez","10/04/25 10:00"
"HC-079","Upgrade payment processor SDK to latest PCI-compliant version (Security,)","*Goal*
Remove deprecated TLS 1.0 paths before processor cutoff date.

*Deliverables*
- Bump stripe-node / equivalent to supported version
- Run integration test suite in staging
- Update runbook for rollback

*Notes*
Processor deadline: end of Q1. Coordinate with finance for test transactions.","Task","Medium","Done","Done","horizon-commerce","agentos-demo","epic-07","Backend","DevOps","HC-EPIC-07","Elena Vasquez","11/04/25 10:00"
"HC-080","Add database indexes for order search queries (Security,)","*Goal*
Reduce p95 admin search latency from 4.2s to under 1s.

*Deliverables*
- EXPLAIN ANALYZE on top 5 slow queries
- Migration for composite index on (merchant_id, created_at, status)
- Validate on staging copy with 2M rows

*Notes*
Use CONCURRENTLY in production migration window.","Task","Medium","In Progress","","horizon-commerce","agentos-demo","epic-07","Backend","DevOps","HC-EPIC-07","Tom Bradley","12/04/25 10:00"
"HC-081","Self-serve mobile seller companion app wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","HC-EPIC-08","Marcus Webb","13/04/25 10:00"
"HC-082","Webhook notifications for mobile seller companion app status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","HC-EPIC-08","Priya Nair","14/04/25 10:00"
"HC-083","Role-based access for mobile seller companion app admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","HC-EPIC-08","James Okafor","15/04/25 10:00"
"HC-084","Export mobile seller companion app data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","HC-EPIC-08","Elena Vasquez","16/04/25 10:00"
"HC-085","Search and filter mobile seller companion app records in admin UI","*User story*
As a support agent, I want full-text search with filters on status and date so that I resolve merchant tickets faster.

*Background*
Support avg handle time is 18 min; search latency is a top complaint.

*Acceptance criteria*
1. Given 100k records, when I search by email fragment, then results return under 2 seconds.
2. Given active filters, when I share URL, then colleague sees same filtered view.
3. Given PII fields, when results render, then only last4 of card is visible to support role.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","HC-EPIC-08","Tom Bradley","17/04/25 10:00"
"HC-086","Self-serve mobile seller companion app wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","HC-EPIC-08","Sarah Chen","18/04/25 10:00"
"HC-087","Webhook notifications for mobile seller companion app status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","HC-EPIC-08","Marcus Webb","19/04/25 10:00"
"HC-088","Timezone mislabels settlement date in analytics chart","*Steps to reproduce*
1. Set merchant timezone to America/Chicago
2. View GMV chart for Jan 31 cross-midnight UTC

*Expected*
Bars align to merchant local day boundaries

*Actual*
Jan 31 GMV split incorrectly across Feb 1

*Environment*
Dashboard v1.8, Postgres rollup job

*Business impact*
Medium — finance reports disagree with processor statements","Bug","High","To Do","","horizon-commerce","agentos-demo","epic-08","Mobile","Security","HC-EPIC-08","James Okafor","20/04/25 10:00"
"HC-089","Mobile app crashes on offline catalog sync resume","*Steps to reproduce*
1. Login as field rep on iOS 17
2. Start catalog sync, enable airplane mode mid-sync
3. Disable airplane mode after 2 minutes

*Expected*
Sync resumes from last checkpoint

*Actual*
App crashes to home screen; logs show SQLite locked

*Environment*
iOS app 4.1.0 build 412

*Business impact*
High — field sales blocked in low-connectivity regions","Bug","Medium","Resolved","Fixed","horizon-commerce","agentos-demo","epic-08","Mobile","Security","HC-EPIC-08","Elena Vasquez","21/04/25 10:00"
"HC-090","API rate limit headers missing on 429 responses","*Steps to reproduce*
1. Exceed 100 req/min on /v1/orders
2. Inspect response headers

*Expected*
Retry-After and X-RateLimit-Reset present

*Actual*
429 body only; integrators cannot backoff correctly

*Environment*
Production API gateway

*Business impact*
Low — developer experience; causes retry storms","Bug","High","Resolved","Fixed","horizon-commerce","agentos-demo","epic-08","Mobile","Security","HC-EPIC-08","Tom Bradley","22/04/25 10:00"
"HC-091","Duplicate charge when user double-clicks Pay button","*Steps to reproduce*
1. Open checkout with $250 cart
2. Click Pay twice within 500ms on slow 3G
3. Observe bank statement

*Expected*
Single authorization hold

*Actual*
Two identical charges posted

*Environment*
Production, Chrome 122, checkout v3.2.1

*Business impact*
High — direct revenue and trust impact; 14 merchant escalations this week","Bug","Medium","In Progress","","horizon-commerce","agentos-demo","epic-08","Mobile","Security","HC-EPIC-08","Sarah Chen","23/04/25 10:00"
"HC-092","Add database indexes for order search queries (Mobile)","*Goal*
Reduce p95 admin search latency from 4.2s to under 1s.

*Deliverables*
- EXPLAIN ANALYZE on top 5 slow queries
- Migration for composite index on (merchant_id, created_at, status)
- Validate on staging copy with 2M rows

*Notes*
Use CONCURRENTLY in production migration window.","Task","Medium","Done","Done","horizon-commerce","agentos-demo","epic-08","API","DevOps","HC-EPIC-08","Tom Bradley","24/04/25 10:00"
